Timestamp,Branch,Gender,Programme,year,How many hours of classes do you have in a week?,How frequently do you attend classes?,You are most likely to attend classes during,"How many courses do you have that has mandatory or random attendance, surprise quiz, marks on interaction etc?",How likely are you to attend 2 classes that has gap in between (say a class from 9am - 10am and 11am - 12-pm)?,How frequently have u attended classes before launching of attendance app?,How frequently have u attended classes after launching of attendance app?,When do you wake up usually(weekdays)?,"If your peers aren't attending a class, will you attend that class...If you have friends?",Do you care to attend classes after getting low score in exams?,What is your current CGPA? (ex. 7.73),No.of Courses,No of Classes
4/14/2024 0:46:22,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,Morning (9am - 1pm),2,2,2,4,9:00 am - 10:00 am,No,Yes,9.07,9,5
4/14/2024 0:49:47,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Rarely,Afternoon(2:30 pm - 5:30 pm),4,2,2,3,9:00 am - 10:00 am,No,Sometimes,8.85,9,3
4/14/2024 0:49:50,CS/AI/MnC,Female,Bachelors,2nd,> 12 hours,Often,"Morning (9am - 1pm), Evening (5:30 pm or later)  :(",4,2,2,3,8:00 am - 9:00 am,No,Sometimes,8.67,9,7
4/14/2024 0:52:42,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,Morning (9am - 1pm),4,2,2,4,After 10:00 am,Yes,Yes,8.137301481,9,5
4/14/2024 12:28:22,EE/EP/ES/CO,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,Afternoon(2:30 pm - 5:30 pm),3,2,1,1,After 10:00 am,No,No,9.945382724,9,5
4/14/2024 12:29:20,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,1st,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,3,4,5,7:00 am - 8:00 am,Yes,Yes,9.13,4,10
4/14/2024 12:29:48,EE/EP/ES/CO,Male,Bachelors,1st,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",6,5,5,5,6:00 am - 7:00 am,No,Yes,8.8,7,10
4/14/2024 12:29:51,CS/AI/MnC,Male,Bachelors,4th,<= 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",2,5,4,4,9:00 am - 10:00 am,Yes,Yes,8.487847785,4,7
4/14/2024 12:30:17,EE/EP/ES/CO,Male,Bachelors,2nd,> 12 hours,Rarely,Afternoon(2:30 pm - 5:30 pm),3,1,1,1,After 10:00 am,No,No,8.45,6,3
4/14/2024 12:30:21,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",2,4,3,3,7:00 am - 8:00 am,Yes,Yes,9.24,8,7
4/14/2024 12:30:25,EE/EP/ES/CO,Male,Bachelors,4th,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",5,5,4,4,7:00 am - 8:00 am,Yes,Yes,8.901557544,4,10
4/14/2024 12:30:46,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,1st,<= 12 hours,Often,Afternoon(2:30 pm - 5:30 pm),5,4,3,4,8:00 am - 9:00 am,No,Yes,7.4,4,7
4/14/2024 12:30:49,EE/EP/ES/CO,Male,Masters,1st,> 12 hours,Often,Afternoon(2:30 pm - 5:30 pm),3,4,3,4,9:00 am - 10:00 am,No,No,8.25,8,7
4/14/2024 12:30:49,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,3rd,> 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),3,5,4,4,7:00 am - 8:00 am,Yes,Yes,8.76,8,10
4/14/2024 12:30:55,CS/AI/MnC,Male,Bachelors,3rd,> 12 hours,Often,Morning (9am - 1pm),4,2,4,4,8:00 am - 9:00 am,No,No,8.73,8,7
4/14/2024 12:31:07,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,2nd,<= 12 hours,Often,"Morning (9am - 1pm), Evening (5:30 pm or later)  :(",2,5,2,2,8:00 am - 9:00 am,No,Sometimes,8.48,4,7
4/14/2024 12:31:21,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,<= 12 hours,Almost every class(Lol..Prodigy),Evening (5:30 pm or later)  :(,3,1,5,5,9:00 am - 10:00 am,No,Yes,8.95632718,4,10
4/14/2024 12:31:42,CS/AI/MnC,Male,Bachelors,3rd,<= 12 hours,Between Rarely and Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",4,2,1,1,8:00 am - 9:00 am,No,No,8.9,4,5
4/14/2024 12:32:19,EE/EP/ES/CO,Male,Bachelors,1st,> 12 hours,Between Rarely and Often,"Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",1,2,2,3,9:00 am - 10:00 am,Yes,Yes,8.958568747,8,5
4/14/2024 12:32:31,CS/AI/MnC,Male,Bachelors,3rd,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),1,2,1,1,9:00 am - 10:00 am,Yes,Sometimes,7.6,4,5
4/14/2024 12:33:44,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,1st,<= 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),1,5,5,5,8:00 am - 9:00 am,Yes,Yes,8.75,4,10
4/14/2024 12:34:13,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,2nd,> 12 hours,Often,Morning (9am - 1pm),6,5,4,4,7:00 am - 8:00 am,Yes,Yes,8.98,8,7
4/14/2024 12:34:41,EE/EP/ES/CO,Female,Bachelors,2nd,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),2,3,3,3,7:00 am - 8:00 am,Yes,Sometimes,7.2,4,5
4/14/2024 12:34:44,CS/AI/MnC,Male,Bachelors,1st,<= 12 hours,Often,Morning (9am - 1pm),2,4,2,3,6:00 am - 7:00 am,Yes,Yes,8.573874301,4,7
4/14/2024 12:34:57,CS/AI/MnC,Male,Bachelors,4th,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),1,2,2,2,9:00 am - 10:00 am,No,Sometimes,8.39,4,5
4/14/2024 12:35:06,EE/EP/ES/CO,Male,Bachelors,4th,> 12 hours,Between Rarely and Often,Afternoon(2:30 pm - 5:30 pm),3,3,3,3,9:00 am - 10:00 am,Yes,Yes,8.24,8,5
4/14/2024 12:35:22,EE/EP/ES/CO,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,Morning (9am - 1pm),4,2,2,4,8:00 am - 9:00 am,Yes,Sometimes,8.5,8,5
4/14/2024 12:35:43,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,3rd,> 12 hours,Almost every class(Lol..Prodigy),Afternoon(2:30 pm - 5:30 pm),1,4,4,4,6:00 am - 7:00 am,Yes,Yes,9.1,8,10
4/14/2024 12:36:01,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,1st,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",3,5,5,5,7:00 am - 8:00 am,No,Sometimes,8,4,10
4/14/2024 12:37:43,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",3,4,4,3,8:00 am - 9:00 am,Yes,Yes,9.14,8,10
